(0, 0): R=136, G=175, B=202
(1, 0): R=158, G=189, B=211
(2, 0): R=155, G=187, B=210
(3, 0): R=134, G=175, B=203
(4, 0): R=143, G=176, B=191
(5, 0): R=168, G=183, B=171
(6, 0): R=153, G=180, B=190
(7, 0): R=138, G=175, B=200
(8, 0): R=136, G=175, B=204
(9, 0): R=136, G=176, B=204
(10, 0): R=137, G=177, B=204
(11, 0): R=137, G=177, B=204
(12, 0): R=138, G=178, B=204
(13, 0): R=139, G=179, B=205
(14, 0): R=139, G=179, B=205
(15, 0): R=140, G=180, B=206
(16, 0): R=142, G=180, B=207
(17, 0): R=143, G=180, B=207
(18, 0): R=144, G=181, B=208
(19, 0): R=145, G=182, B=208
(20, 0): R=145, G=182, B=208
(21, 0): R=146, G=183, B=209
(22, 0): R=147, G=184, B=210
(23, 0): R=148, G=184, B=210
(24, 0): R=149, G=185, B=211
(25, 0): R=150, G=186, B=212
(26, 0): R=151, G=187, B=213
(27, 0): R=151, G=187, B=213
(28, 0): R=152, G=188, B=213
(29, 0): R=153, G=189, B=213
(30, 0): R=154, G=189, B=213
(31, 0): R=154, G=190, B=214
(32, 0): R=156, G=190, B=215
(33, 0): R=156, G=190, B=215
(34, 0): R=157, G=191, B=216
(35, 0): R=158, G=192, B=217
(36, 0): R=158, G=192, B=217
(37, 0): R=159, G=193, B=217
(38, 0): R=159, G=194, B=217
(39, 0): R=159, G=194, B=217
(40, 0): R=160, G=195, B=217
(41, 0): R=160, G=195, B=217
(42, 0): R=161, G=195, B=218
(43, 0): R=162, G=195, B=218
(44, 0): R=162, G=195, B=218
(45, 0): R=162, G=195, B=218
(46, 0): R=162, G=195, B=218
(47, 0): R=162, G=195, B=218
(48, 0): R=162, G=195, B=218
(49, 0): R=161, G=196, B=218
(50, 0): R=161, G=195, B=218
(51, 0): R=161, G=195, B=218
(52, 0): R=160, G=195, B=217
(53, 0): R=160, G=195, B=217
(54, 0): R=159, G=194, B=217
(55, 0): R=159, G=193, B=218
(56, 0): R=158, G=193, B=217
(57, 0): R=158, G=192, B=217
(58, 0): R=157, G=191, B=216
(59, 0): R=156, G=191, B=216
(60, 0): R=156, G=190, B=215
(61, 0): R=155, G=190, B=214
(62, 0): R=154, G=190, B=214
(63, 0): R=153, G=189, B=213
(64, 0): R=152, G=188, B=213
(65, 0): R=152, G=188, B=213
(66, 0): R=151, G=187, B=213
(67, 0): R=150, G=186, B=212
(68, 0): R=149, G=185, B=211
(69, 0): R=148, G=185, B=211
(70, 0): R=147, G=184, B=210
(71, 0): R=146, G=183, B=209
(72, 0): R=145, G=182, B=209
(73, 0): R=145, G=182, B=209
(74, 0): R=143, G=181, B=208
(75, 0): R=142, G=181, B=207
(76, 0): R=141, G=181, B=207
(77, 0): R=140, G=180, B=206
(78, 0): R=139, G=179, B=205
(79, 0): R=138, G=178, B=205
(80, 0): R=138, G=178, B=204
(81, 0): R=137, G=177, B=204
(82, 0): R=136, G=176, B=204
(83, 0): R=135, G=176, B=204
